YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2013,11,82 004,9 500,Cargurus
2017,7,11 341,18 000 ,Cargurus 
2014,10,87 777,12 237,Cargurus 
2019,5,16 874,23 600,Autotrader 
2021,3,14 826,24 255,Autotrader 
2021,3,23 752,23 593 ,Autotrader 
2017,7,43 000,15 998,Carmax
2019,5,25 000,21 998,Carmax
2020,4,11 328,24 998,Carvana
2019,5,21 797,19 590,Carvana
2018,6,25 467,19 990,Carvana
2023,1,48 854,26 165,Carfax
2023,1,8 852,29 900,Mini Cooper 
2015 ,9,44 356,14 990,Carvana
2022,2,24 618,25 990 ,Carvana